SalesOrderID|OrderDate|Status|SubTotal|TaxAmt|Freight|TotalDue
43730|2011-06-08 00:00:00|5|3399,99|271,9992|84,9998|3756,989
43731|2011-06-08 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43732|2011-06-08 00:00:00|5|3374,99|269,9992|84,3748|3729,364
43733|2011-06-08 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43734|2011-06-09 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43735|2011-06-09 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43736|2011-06-09 00:00:00|5|3399,99|271,9992|84,9998|3756,989
43737|2011-06-10 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43738|2011-06-10 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43739|2011-06-10 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43740|2011-06-10 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43741|2011-06-11 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43742|2011-06-11 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43743|2011-06-11 00:00:00|5|3399,99|271,9992|84,9998|3756,989
43744|2011-06-11 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43745|2011-06-12 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43746|2011-06-12 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43747|2011-06-13 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43748|2011-06-13 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43749|2011-06-13 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43750|2011-06-13 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43751|2011-06-13 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43752|2011-06-13 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43753|2011-06-13 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43754|2011-06-14 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43755|2011-06-14 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43756|2011-06-14 00:00:00|5|699,0982|55,9279|17,4775|772,5036
43757|2011-06-14 00:00:00|5|3374,99|269,9992|84,3748|3729,364
43758|2011-06-15 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43759|2011-06-15 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
43760|2011-06-15 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
