SalesOrderID|OrderDate|Status|SubTotal|TaxAmt|Freight|TotalDue
44361|2011-09-08 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44362|2011-09-08 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44363|2011-09-08 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44364|2011-09-08 00:00:00|5|3374,99|269,9992|84,3748|3729,364
44365|2011-09-08 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44366|2011-09-08 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44367|2011-09-08 00:00:00|5|699,0982|55,9279|17,4775|772,5036
44368|2011-09-09 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44369|2011-09-09 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44370|2011-09-09 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44371|2011-09-09 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44372|2011-09-09 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44373|2011-09-10 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44374|2011-09-10 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44375|2011-09-10 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44376|2011-09-10 00:00:00|5|3374,99|269,9992|84,3748|3729,364
44377|2011-09-10 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44378|2011-09-10 00:00:00|5|3374,99|269,9992|84,3748|3729,364
44379|2011-09-10 00:00:00|5|3374,99|269,9992|84,3748|3729,364
44380|2011-09-10 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44381|2011-09-11 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44382|2011-09-11 00:00:00|5|3399,99|271,9992|84,9998|3756,989
44383|2011-09-11 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44384|2011-09-11 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44385|2011-09-11 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44386|2011-09-11 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44387|2011-09-11 00:00:00|5|3374,99|269,9992|84,3748|3729,364
44388|2011-09-11 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44389|2011-09-11 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44390|2011-09-11 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44391|2011-09-11 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44392|2011-09-11 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44393|2011-09-12 00:00:00|5|3399,99|271,9992|84,9998|3756,989
44394|2011-09-12 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44395|2011-09-12 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44396|2011-09-12 00:00:00|5|3399,99|271,9992|84,9998|3756,989
44397|2011-09-12 00:00:00|5|699,0982|55,9279|17,4775|772,5036
44398|2011-09-12 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44399|2011-09-13 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44400|2011-09-13 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44401|2011-09-13 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44402|2011-09-14 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44403|2011-09-14 00:00:00|5|3374,99|269,9992|84,3748|3729,364
44404|2011-09-15 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44405|2011-09-15 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44406|2011-09-15 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44407|2011-09-15 00:00:00|5|3374,99|269,9992|84,3748|3729,364
44408|2011-09-15 00:00:00|5|3374,99|269,9992|84,3748|3729,364
44409|2011-09-15 00:00:00|5|699,0982|55,9279|17,4775|772,5036
44410|2011-09-16 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44411|2011-09-16 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44412|2011-09-16 00:00:00|5|3374,99|269,9992|84,3748|3729,364
44413|2011-09-17 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44414|2011-09-17 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44415|2011-09-17 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44416|2011-09-17 00:00:00|5|3399,99|271,9992|84,9998|3756,989
44417|2011-09-17 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44418|2011-09-17 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44419|2011-09-17 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44420|2011-09-17 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44421|2011-09-18 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44422|2011-09-18 00:00:00|5|699,0982|55,9279|17,4775|772,5036
44423|2011-09-18 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44424|2011-09-18 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44425|2011-09-18 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44426|2011-09-19 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44427|2011-09-19 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44428|2011-09-19 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44429|2011-09-19 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44430|2011-09-19 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44431|2011-09-19 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44432|2011-09-20 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44433|2011-09-20 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44434|2011-09-20 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44435|2011-09-21 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44436|2011-09-21 00:00:00|5|699,0982|55,9279|17,4775|772,5036
44437|2011-09-21 00:00:00|5|3399,99|271,9992|84,9998|3756,989
44438|2011-09-21 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44439|2011-09-22 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44440|2011-09-22 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44441|2011-09-22 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44442|2011-09-22 00:00:00|5|699,0982|55,9279|17,4775|772,5036
44443|2011-09-22 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44444|2011-09-24 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44445|2011-09-25 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44446|2011-09-25 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44447|2011-09-26 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44448|2011-09-26 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44449|2011-09-26 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44450|2011-09-26 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44451|2011-09-26 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44452|2011-09-26 00:00:00|5|699,0982|55,9279|17,4775|772,5036
44453|2011-09-26 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44454|2011-09-26 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44455|2011-09-26 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44456|2011-09-26 00:00:00|5|699,0982|55,9279|17,4775|772,5036
44457|2011-09-27 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44458|2011-09-27 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44459|2011-09-27 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44460|2011-09-27 00:00:00|5|699,0982|55,9279|17,4775|772,5036
44461|2011-09-27 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44462|2011-09-28 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44463|2011-09-28 00:00:00|5|699,0982|55,9279|17,4775|772,5036
44464|2011-09-28 00:00:00|5|3578,27|286,2616|89,4568|3953,9884
44465|2011-09-28 00:00:00|5|699,0982|55,9279|17,4775|772,5036
44466|2011-09-28 00:00:00|5|699,0982|55,9279|17,4775|772,5036
