SalesOrderID|ProductID|UnitPrice
43659|1|1971,514
43660|2|124,24
43661|3|3153,76
43662|4|2775,1646
43663|5|40261
43664|6|45754
43665|7|25348
43666|8|45869
43667|9|24564869
43668|10|23345
43669|11|246
43670|12|2578
43671|13|37969323
43672|14|464
43673|15|235745
43674|16|253763
43675|17|254368
43676|18|126
43677|19|907884
43678|20|3136605
43679|21|469784
43680|22|2336
43681|23|25364
43682|24|5878
43683|25|11470
43684|26|68967
43685|27|25346
43686|28|253
43687|29|34453
43688|30|7568
43689|31|23323
43690|32|8131
43691|33|67967
43692|34|2344966
43693|35|14253
43694|36|25344545
43695|37|233423
43696|38|354
43697|39|345345
43698|40|85670
43699|41|357897
43700|42|14687
43701|43|2554658
43702|44|67667
43703|45|356475890
43704|46|4575697898
43705|47|222346
43706|48|656
43707|49|577
43708|50|780
